,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,CFPARAMS,PLAYER_ID
3757,By Year,2019-20,1610612759,SAS,2020-08-13T00:00:00,18,8,10,0.444,5.8,1.3,2.3,0.571,0.0,0.1,0.0,0.6,0.7,0.769,0.7,1.2,1.8,0.6,0.6,0.2,0.3,0.1,0.4,0.4,3.2,-0.5,7.2,0,0,6.6,4,4,4,2,3,3,3,1,3,3,3,3,3,2,2,3,3,3,3,4,3,3,4,3,3,2,3,2,1,3,264,2019-20,1629002
3758,By Year,2018-19,1610612759,SAS,2019-03-15T00:00:00,29,14,15,0.483,5.0,0.7,2.0,0.328,0.0,0.1,0.0,0.4,0.6,0.765,0.3,0.9,1.2,0.4,0.5,0.2,0.1,0.1,0.5,0.4,1.8,0.0,4.2,0,0,4.0,3,2,3,1,4,4,4,4,3,4,3,4,4,3,4,4,4,4,4,3,4,4,3,4,4,1,4,2,1,4,264,2018-19,1629002
3759,By Year,2021-22,1610612765,DET,2021-12-29T00:00:00,3,0,3,0.0,10.2,1.0,2.7,0.375,0.0,0.0,0.0,1.7,2.0,0.833,1.3,2.7,4.0,0.0,0.3,0.3,0.0,0.3,2.0,1.3,3.7,-11.0,9.1,0,0,8.3,5,5,5,5,4,5,5,5,3,3,3,1,1,2,2,4,4,5,5,2,5,1,1,1,5,5,5,5,1,5,264,2021-22,1627767
3760,By Year,2019-20,1610612756,PHX,2020-08-13T00:00:00,47,20,27,0.426,10.2,2.0,3.0,0.648,0.0,0.1,0.333,0.7,0.8,0.872,0.6,2.1,2.8,0.5,0.7,0.2,0.3,0.2,1.2,0.8,4.7,-1.0,9.5,1,0,8.9,3,3,2,3,5,4,4,1,1,1,1,5,5,1,5,5,5,2,2,4,4,4,4,5,4,1,4,4,1,4,264,2019-20,1627767
3761,By Year,2018-19,1610612740,NOP,2019-04-09T00:00:00,64,27,37,0.422,14.0,2.6,4.2,0.62,0.0,0.1,0.25,0.8,1.0,0.746,1.2,4.0,5.2,0.5,0.8,0.5,0.5,0.3,1.8,1.0,6.0,-1.4,15.2,10,0,13.7,1,2,1,4,1,1,2,2,2,2,2,4,4,4,3,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,264,2018-19,1627767
3762,By Year,2017-18,1610612740,NOP,2018-04-11T00:00:00,52,29,23,0.558,11.2,2.0,3.4,0.58,0.0,0.0,0.0,1.0,1.3,0.758,0.9,3.2,4.1,0.4,0.5,0.2,0.4,0.3,1.6,0.9,4.9,-2.0,11.6,3,0,10.5,2,1,3,1,3,3,3,3,3,3,3,2,2,3,4,2,3,3,3,5,3,3,3,3,3,3,3,2,1,3,264,2017-18,1627767
3763,By Year,2016-17,1610612740,NOP,2017-04-12T00:00:00,17,9,8,0.529,11.7,2.1,4.5,0.474,0.0,0.0,0.0,0.9,1.2,0.714,1.4,2.9,4.3,0.2,0.4,0.2,0.4,0.2,1.0,0.9,5.1,-3.1,12.2,3,0,10.9,4,4,4,2,2,2,1,4,3,3,3,3,3,5,1,3,2,4,4,3,2,5,5,4,2,4,2,2,1,2,264,2016-17,1627767
3764,By Year,2021-22,-1,TOT,2021-12-31T00:00:00,5,1,4,0.2,20.7,2.0,6.4,0.313,1.2,3.6,0.333,1.0,1.2,0.833,0.2,3.0,3.2,0.8,0.2,0.4,0.0,0.6,1.4,0.8,6.2,-4.0,12.2,0,0,12.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2021-22,1630602
3765,By Year,2021-22,1610612737,ATL,2021-12-31T00:00:00,3,1,2,0.333,27.7,3.0,8.3,0.36,2.0,5.0,0.4,1.7,2.0,0.833,0.3,4.3,4.7,1.3,0.0,0.7,0.0,0.7,2.3,1.0,9.7,-6.3,19.3,0,0,19.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,264,2021-22,1630602
3766,By Year,2021-22,1610612747,LAL,2021-12-19T00:00:00,2,0,2,0.0,10.3,0.5,3.5,0.143,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,-0.5,1.7,0,0,2.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,1,2,264,2021-22,1630602
3767,By Year,2021-22,-1,TOT,2022-03-31T00:00:00,22,16,6,0.727,8.1,0.5,1.8,0.256,0.0,0.5,0.083,0.4,0.5,0.9,0.6,0.8,1.5,0.3,0.2,0.5,0.2,0.2,0.8,0.4,1.4,-1.0,5.2,0,0,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2021-22,1629718
3768,By Year,2021-22,1610612755,PHI,2022-03-31T00:00:00,19,14,5,0.737,8.5,0.5,1.8,0.265,0.1,0.5,0.111,0.5,0.5,0.9,0.7,0.9,1.6,0.3,0.3,0.4,0.2,0.3,0.8,0.4,1.5,0.5,5.3,0,0,4.6,1,1,3,1,2,3,3,3,3,4,3,3,2,2,1,2,2,3,3,3,4,1,2,3,3,2,2,1,1,2,264,2021-22,1629718
