,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,SEASON
37,1610612743,Denver Nuggets,72,47,25,0.653,49.1,43.7,90.2,0.485,13.0,34.6,0.377,15.9,19.7,0.803,10.6,34.3,44.9,27.1,13.6,8.2,4.5,4.6,19.3,19.4,116.3,5.0,1,5,5,5,4,1,3,4,14,15,8,26,27,7,6,17,10,2,15,6,20,9,17,13,6,6,10,Denver Nuggets,2020-21
38,1610612765,Detroit Pistons,72,20,52,0.278,48.9,39.0,86.4,0.452,11.7,33.2,0.351,17.9,23.6,0.759,9.7,33.4,43.1,24.4,15.1,7.4,5.2,5.9,20.7,20.6,107.6,-4.5,1,29,29,29,8,27,23,24,21,19,22,7,5,24,15,23,22,16,26,17,9,29,28,5,26,25,10,Detroit Pistons,2020-21
39,1610612744,Golden State Warriors,72,39,33,0.542,46.7,40.1,85.6,0.468,14.1,37.6,0.376,16.1,20.5,0.785,7.7,34.1,41.8,26.9,14.6,7.9,4.6,4.2,20.6,19.0,110.5,1.0,1,14,14,14,28,23,30,14,5,6,9,23,25,13,30,20,27,5,24,8,18,5,27,16,20,14,10,Golden State Warriors,2020-21
40,1610612745,Houston Rockets,72,17,55,0.236,47.3,38.6,87.0,0.444,13.6,39.9,0.339,16.2,21.9,0.74,9.2,32.7,41.9,23.2,14.5,7.5,4.9,5.2,19.2,19.0,107.0,-7.8,1,30,30,30,24,28,21,28,11,3,28,20,10,27,25,26,26,26,23,16,14,23,14,17,27,27,10,Houston Rockets,2020-21
41,1610612754,Indiana Pacers,72,34,38,0.472,47.1,42.0,88.5,0.474,12.0,33.0,0.364,15.9,20.1,0.792,8.7,32.7,41.4,26.6,13.1,8.2,6.2,5.1,19.6,17.6,111.9,0.0,1,17,17,17,27,9,14,11,20,21,17,25,26,9,28,27,29,7,7,5,1,20,20,30,14,17,10,Indiana Pacers,2020-21
42,1610612746,LA Clippers,72,47,25,0.653,49.1,42.8,88.7,0.482,14.6,35.5,0.411,16.5,19.7,0.839,9.6,35.5,45.2,25.0,13.5,7.2,4.2,4.3,19.7,18.5,116.7,6.3,1,5,5,5,3,4,12,5,3,13,1,18,28,1,18,4,8,13,14,20,28,6,21,22,3,2,10,LA Clippers,2020-21
43,1610612747,Los Angeles Lakers,72,42,30,0.583,48.6,40.7,86.3,0.472,11.1,31.3,0.354,17.3,23.4,0.739,9.7,34.7,44.3,24.7,15.2,7.8,5.4,4.6,19.2,21.3,109.8,2.8,1,8,8,8,10,19,26,12,24,23,21,10,6,28,17,14,15,14,28,12,5,8,13,1,24,8,10,Los Angeles Lakers,2020-21
44,1610612763,Memphis Grizzlies,72,38,34,0.528,47.7,42.2,90.5,0.467,11.0,30.9,0.356,16.2,21.0,0.771,11.0,34.8,45.8,26.5,13.1,9.0,5.0,5.2,18.5,18.0,111.7,1.0,1,15,15,15,22,6,2,18,25,25,20,21,20,18,2,12,6,8,6,2,13,22,8,27,15,15,10,Memphis Grizzlies,2020-21
45,1610612748,Miami Heat,72,40,32,0.556,49.4,40.1,85.7,0.468,13.2,37.0,0.358,17.1,21.6,0.79,8.2,34.2,42.5,26.9,14.4,8.1,4.1,4.1,19.4,20.1,110.6,0.0,1,13,13,13,2,22,29,15,12,8,19,13,14,12,29,18,24,4,21,7,29,4,18,8,18,16,10,Miami Heat,2020-21
46,1610612749,Milwaukee Bucks,72,46,26,0.639,46.7,43.4,89.0,0.487,14.0,36.0,0.389,15.7,20.7,0.76,10.0,36.7,46.7,24.7,13.4,7.9,4.5,4.7,16.8,17.8,116.5,5.7,1,7,7,7,29,3,8,3,8,11,5,28,24,23,12,2,3,15,13,10,21,15,1,28,5,4,10,Milwaukee Bucks,2020-21
47,1610612750,Minnesota Timberwolves,72,23,49,0.319,47.1,39.7,88.6,0.448,12.8,36.6,0.349,17.1,22.5,0.761,10.2,32.2,42.4,25.0,13.9,8.6,5.4,5.4,20.4,19.4,109.3,-5.4,1,25,25,25,26,25,13,27,15,9,25,12,8,22,11,29,25,12,17,4,4,25,24,11,25,26,10,Minnesota Timberwolves,2020-21
48,1610612740,New Orleans Pelicans,72,31,41,0.431,47.7,41.9,87.8,0.477,10.4,30.0,0.348,18.7,25.7,0.729,11.6,35.2,46.7,25.6,14.4,7.5,4.3,5.8,17.7,21.0,113.0,-0.3,1,21,21,21,21,10,19,7,27,27,26,4,1,29,1,8,2,10,22,15,25,28,3,2,11,18,10,New Orleans Pelicans,2020-21
49,1610612752,New York Knicks,72,41,31,0.569,49.8,40.6,89.0,0.456,12.1,30.9,0.392,16.9,21.5,0.784,10.0,36.5,46.5,22.0,13.3,7.2,5.2,5.6,21.1,18.4,110.2,2.4,1,11,11,11,1,20,10,21,18,24,3,14,17,14,13,3,4,27,11,18,7,26,29,24,22,9,10,New York Knicks,2020-21
50,1610612760,Oklahoma City Thunder,72,22,50,0.306,47.2,38.0,86.2,0.441,11.7,34.4,0.339,15.1,20.9,0.725,9.7,34.9,44.6,21.6,15.8,6.9,4.3,5.1,17.7,18.2,102.8,-10.4,1,26,26,26,25,30,27,29,22,16,29,29,22,30,16,10,12,29,30,26,26,21,4,25,30,30,10,Oklahoma City Thunder,2020-21
51,1610612753,Orlando Magic,72,21,51,0.292,48.4,38.5,89.7,0.429,11.0,32.0,0.343,16.7,21.6,0.775,10.4,35.3,45.7,21.9,12.9,6.9,4.4,5.4,17.3,18.7,104.6,-9.4,1,28,28,28,14,29,5,30,26,22,27,17,16,17,10,5,7,28,5,25,22,24,2,18,29,29,10,Orlando Magic,2020-21
52,1610612755,Philadelphia 76ers,72,49,23,0.681,47.9,41.0,86.0,0.476,11.2,29.8,0.374,19.4,25.2,0.767,9.9,34.7,44.6,23.5,14.3,9.0,6.1,4.6,20.0,20.8,112.5,5.5,1,3,3,3,19,17,28,8,23,28,11,2,2,20,14,13,13,24,20,1,2,11,23,4,13,5,10,Philadelphia 76ers,2020-21
53,1610612756,Phoenix Suns,72,51,21,0.708,49.0,43.7,89.1,0.49,13.2,34.9,0.378,15.7,18.9,0.834,8.8,34.5,43.3,27.2,12.6,7.2,4.4,3.6,19.3,18.1,116.3,5.9,1,2,2,2,7,2,7,2,13,14,7,27,29,2,26,15,20,1,4,19,24,1,15,26,7,3,10,Phoenix Suns,2020-21
54,1610612757,Portland Trail Blazers,72,42,30,0.583,48.5,41.7,91.9,0.453,15.9,41.2,0.385,18.0,21.8,0.823,10.7,34.2,44.9,21.5,11.2,6.9,5.1,4.7,19.1,19.3,117.1,1.8,1,8,8,8,11,12,1,23,2,2,6,5,12,3,3,19,9,30,1,24,11,14,12,14,2,12,10,Portland Trail Blazers,2020-21
55,1610612758,Sacramento Kings,72,31,41,0.431,47.6,42.2,87.8,0.481,12.0,33.0,0.364,16.3,21.8,0.745,9.3,31.8,41.0,25.3,13.3,7.5,4.9,4.6,19.3,18.6,112.7,-3.6,1,21,21,21,23,7,18,6,19,20,16,19,13,25,22,30,30,11,8,14,15,12,16,21,12,24,10,Sacramento Kings,2020-21
56,1610612759,San Antonio Spurs,72,33,39,0.458,48.3,41.7,90.1,0.462,9.9,28.3,0.35,17.3,21.9,0.792,9.2,34.4,43.6,24.3,11.3,7.0,5.1,5.1,17.9,18.5,110.5,-1.7,1,19,19,19,15,13,4,20,29,29,24,9,11,10,23,16,19,17,2,22,12,19,5,23,19,21,10,San Antonio Spurs,2020-21
57,1610612761,Toronto Raptors,72,27,45,0.375,48.2,39.8,88.9,0.448,14.5,39.4,0.368,17.4,21.4,0.815,9.5,32.2,41.7,24.2,13.3,8.6,5.4,5.6,21.3,19.6,111.6,-0.5,1,24,24,24,17,24,11,26,4,4,15,8,19,4,20,28,28,20,9,3,3,27,30,10,16,19,10,Toronto Raptors,2020-21
58,1610612762,Utah Jazz,72,52,20,0.722,48.3,41.3,88.2,0.468,16.8,43.1,0.389,17.2,21.5,0.799,10.6,37.7,48.3,23.7,14.2,6.6,5.2,3.9,18.6,19.0,116.5,9.3,1,1,1,1,16,15,17,16,1,1,4,11,18,8,7,1,1,22,19,29,10,3,9,15,4,1,10,Utah Jazz,2020-21
59,1610612764,Washington Wizards,72,34,38,0.472,45.9,41.0,86.3,0.475,9.7,27.5,0.351,19.1,24.8,0.769,9.2,33.7,42.9,24.2,13.7,7.0,3.9,4.6,20.5,20.9,110.7,-1.7,1,17,17,17,30,18,25,10,30,30,23,3,3,19,24,22,23,19,16,23,30,10,25,3,17,22,10,Washington Wizards,2020-21
