,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,CFPARAMS,PLAYER_ID
320,By Year,2014-15,-1,TOT,2015-04-15T00:00:00,62,34,28,0.548,51.6,6.5,15.7,0.41,2.2,6.6,0.342,1.4,2.1,0.672,1.8,5.6,7.5,4.5,3.0,2.7,0.5,0.4,4.6,3.0,16.6,2.1,39.0,2,0,37.3,1,2,1,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,264,2014-15,202697
321,By Year,2014-15,1610612739,CLE,2015-04-15T00:00:00,38,30,8,0.789,50.9,5.8,14.2,0.41,2.4,7.2,0.338,1.0,1.5,0.667,1.8,6.1,7.9,3.2,2.7,2.8,0.7,0.3,3.9,2.2,15.1,9.4,37.2,2,0,35.7,7,5,8,1,4,3,6,2,4,4,5,9,9,9,4,2,2,7,5,3,3,10,8,9,5,1,3,1,1,2,264,2014-15,202697
322,By Year,2014-15,1610612752,NYK,2014-12-12T00:00:00,24,4,20,0.167,52.7,7.4,18.1,0.409,1.9,5.6,0.348,2.1,3.1,0.676,1.9,5.0,6.8,6.6,3.5,2.5,0.3,0.7,5.6,4.2,18.9,-9.0,41.8,0,0,39.8,8,11,4,12,1,1,1,3,7,10,4,2,2,8,3,8,7,1,2,4,10,3,1,1,1,11,1,3,1,1,264,2014-15,202697
323,By Year,2013-14,1610612752,NYK,2014-04-16T00:00:00,74,36,38,0.486,52.6,4.9,13.0,0.378,2.0,6.1,0.333,1.4,1.9,0.746,2.2,6.1,8.3,3.5,2.1,2.5,0.3,0.4,5.6,2.5,13.3,4.1,34.7,0,0,32.6,2,3,1,11,3,7,7,8,6,8,6,8,7,6,2,3,1,6,7,5,9,7,2,6,7,4,5,3,1,6,264,2013-14,202697
324,By Year,2012-13,1610612752,NYK,2013-04-17T00:00:00,45,30,15,0.667,52.7,5.8,14.5,0.396,2.7,6.7,0.402,1.9,2.5,0.766,1.6,5.5,7.2,4.0,2.0,2.3,0.4,1.1,5.2,3.2,16.1,-0.8,36.7,0,0,35.3,5,5,6,5,2,4,5,5,2,5,1,3,4,5,6,6,4,3,10,7,8,1,3,3,3,8,4,3,1,3,264,2012-13,202697
325,By Year,2011-12,1610612752,NYK,2012-04-26T00:00:00,59,34,25,0.576,50.8,6.4,15.9,0.401,1.4,4.7,0.306,2.6,3.2,0.798,1.3,4.3,5.5,4.9,3.3,3.0,0.2,0.9,5.2,3.8,16.8,3.3,37.2,0,0,35.2,3,4,3,8,5,2,3,4,10,11,7,1,1,2,7,11,10,2,3,2,11,2,4,2,2,5,2,3,1,4,264,2011-12,202697
326,By Year,2020-21,1610612761,TOR,2021-03-14T00:00:00,2,0,2,0.0,46.2,6.0,16.9,0.357,2.4,10.8,0.222,3.6,4.8,0.75,3.6,10.8,14.5,6.0,0.0,0.0,0.0,1.2,8.4,3.6,18.1,8.4,44.5,0,0,41.0,5,5,5,5,5,5,6,5,5,2,5,3,1,3,2,3,3,1,4,4,3,2,1,2,5,2,2,3,1,5,264,2020-21,1627740
327,By Year,2019-20,1610612751,BKN,2020-01-02T00:00:00,5,2,3,0.4,39.8,2.6,18.4,0.143,0.0,10.5,0.0,0.0,0.0,0.0,5.3,10.5,15.8,2.6,0.0,0.0,0.0,2.6,2.6,0.0,5.3,31.6,28.2,0,0,23.7,4,4,4,3,6,6,4,6,6,3,6,6,6,6,1,4,2,4,4,4,3,1,5,6,6,1,6,3,1,6,264,2019-20,1627740
328,By Year,2018-19,-1,TOT,2019-04-10T00:00:00,19,4,15,0.211,47.5,7.2,17.4,0.411,3.1,7.0,0.447,3.5,4.6,0.76,0.9,11.2,12.1,2.9,1.7,1.3,0.4,0.9,5.0,4.4,20.9,-1.8,43.2,0,0,42.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2018-19,1627740
329,By Year,2018-19,1610612752,NYK,2019-04-10T00:00:00,17,4,13,0.235,47.2,7.1,17.1,0.412,3.0,6.9,0.441,3.4,4.6,0.739,1.0,10.5,11.5,3.0,1.8,1.4,0.4,1.0,5.0,4.6,20.6,-0.4,42.5,0,0,41.7,3,3,2,4,4,4,5,1,3,6,2,4,2,4,5,5,6,2,3,1,1,3,2,1,3,3,3,3,1,2,264,2018-19,1627740
330,By Year,2018-19,1610612765,DET,2018-12-10T00:00:00,2,0,2,0.0,50.6,8.2,20.4,0.4,4.1,8.2,0.5,4.1,4.1,1.0,0.0,18.4,18.4,2.0,0.0,0.0,0.0,0.0,4.1,2.0,24.5,-16.3,49.6,0,0,49.0,5,5,5,5,1,1,3,2,1,5,1,1,4,1,6,1,1,6,4,4,3,6,3,5,1,6,1,3,1,1,264,2018-19,1627740
331,By Year,2017-18,1610612765,DET,2018-04-11T00:00:00,38,21,17,0.553,48.0,7.7,21.3,0.363,2.9,8.8,0.333,3.6,4.2,0.862,1.5,10.4,11.8,2.9,2.6,0.7,0.0,0.3,3.2,3.1,22.0,-0.7,40.2,1,0,41.2,1,1,1,1,3,3,2,3,4,4,3,2,3,2,4,6,5,3,2,2,3,5,4,3,2,4,4,1,1,3,264,2017-18,1627740
332,By Year,2016-17,1610612765,DET,2017-04-12T00:00:00,19,8,11,0.421,49.2,7.7,21.5,0.359,3.4,11.8,0.286,1.3,2.7,0.5,2.7,11.1,13.8,2.4,4.7,0.3,0.3,0.7,2.0,2.4,20.2,-1.0,37.6,1,0,41.1,2,2,3,2,2,2,1,4,2,1,4,5,5,5,3,2,4,5,1,3,2,4,6,4,4,5,5,1,1,4,264,2016-17,1627740
333,By Year,2020-21,1610612757,POR,2021-05-16T00:00:00,38,23,15,0.605,46.5,5.6,13.0,0.433,1.1,3.1,0.348,2.1,3.6,0.593,4.1,13.6,17.8,3.9,2.7,1.1,1.7,1.1,7.2,3.1,14.4,-10.4,47.3,0,0,42.7,3,2,3,1,2,3,3,3,1,1,1,3,2,3,1,1,1,3,3,3,1,2,3,3,3,3,3,2,1,3,264,2020-21,1628385
334,By Year,2019-20,1610612758,SAC,2020-08-13T00:00:00,46,22,24,0.478,47.2,9.8,17.8,0.554,0.0,0.1,0.0,2.7,3.5,0.776,3.0,10.3,13.3,4.2,3.1,1.6,1.3,1.1,8.4,4.1,22.4,-9.1,50.1,2,0,45.6,2,3,2,2,1,1,2,1,2,3,2,2,3,1,3,2,2,2,2,2,2,1,1,2,2,2,1,1,1,1,264,2019-20,1628385
335,By Year,2018-19,1610612758,SAC,2019-03-21T00:00:00,58,26,32,0.448,45.2,9.7,19.2,0.503,0.0,0.3,0.0,3.2,5.0,0.637,3.6,8.6,12.2,4.7,4.0,1.7,1.2,0.7,8.3,5.5,22.5,-5.8,49.0,0,0,45.3,1,1,1,3,3,2,1,2,2,2,2,1,1,2,2,3,3,1,1,1,3,3,2,1,1,1,2,2,1,2,264,2018-19,1628385
336,By Year,2020-21,1610612743,DEN,2021-03-15T00:00:00,4,3,1,0.75,44.5,0.0,11.1,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,0.0,0,0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,204222
337,By Year,2020-21,1610612766,CHA,2021-05-13T00:00:00,7,2,5,0.286,49.5,14.5,21.8,0.667,3.6,7.3,0.5,0.0,0.0,0.0,0.0,1.8,1.8,5.5,1.8,1.8,0.0,0.0,0.0,1.8,32.7,-7.3,46.7,0,0,47.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2020-21,1630203
338,By Year,2020-21,1610612758,SAC,2021-02-18T00:00:00,23,9,14,0.391,46.6,5.3,12.5,0.424,2.0,5.5,0.364,2.6,2.9,0.913,1.4,4.3,5.7,2.5,1.4,0.5,0.4,1.0,2.9,2.5,15.3,-16.5,27.1,0,0,27.2,6,6,6,6,9,7,6,5,2,1,5,2,4,2,7,7,7,2,5,9,5,5,4,4,5,9,8,3,1,8,264,2020-21,203922
