,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,CFID,CFPARAMS,SEASON
12,1610612746,LA Clippers,82,42,40,0.512,3956.0,0.531,0.224,0.139,0.254,0.514,0.216,0.137,0.294,1,18,18,18,13,19,26,14,26,4,2,15,27,10,LA Clippers,2021-22
13,1610612747,Los Angeles Lakers,82,33,49,0.402,3996.0,0.537,0.259,0.142,0.256,0.54,0.257,0.138,0.28,1,23,23,23,1,15,8,19,25,21,23,14,21,10,Los Angeles Lakers,2021-22
14,1610612763,Memphis Grizzlies,82,56,26,0.683,3956.0,0.522,0.245,0.13,0.338,0.523,0.253,0.149,0.274,1,2,2,2,13,23,19,8,1,10,18,4,15,10,Memphis Grizzlies,2021-22
15,1610612748,Miami Heat,82,53,29,0.646,3971.0,0.547,0.252,0.149,0.278,0.524,0.268,0.154,0.265,1,3,3,3,5,5,12,28,10,12,27,3,9,10,Miami Heat,2021-22
16,1610612749,Milwaukee Bucks,82,51,31,0.622,3951.0,0.546,0.257,0.133,0.269,0.536,0.22,0.129,0.253,1,6,6,6,19,6,9,10,16,19,4,27,2,10,Milwaukee Bucks,2021-22
17,1610612750,Minnesota Timberwolves,82,46,36,0.561,3956.0,0.539,0.254,0.141,0.284,0.535,0.291,0.16,0.294,1,12,12,12,13,12,10,17,7,17,29,2,28,10,Minnesota Timberwolves,2021-22
18,1610612740,New Orleans Pelicans,82,36,46,0.439,3951.0,0.517,0.264,0.143,0.306,0.547,0.25,0.144,0.258,1,20,20,20,19,24,6,21,4,26,14,9,3,10,New Orleans Pelicans,2021-22
19,1610612752,New York Knicks,82,37,45,0.451,3956.0,0.513,0.28,0.137,0.291,0.521,0.259,0.131,0.26,1,19,19,19,13,26,3,12,6,8,24,25,4,10,New York Knicks,2021-22
20,1610612760,Oklahoma City Thunder,82,24,58,0.293,3961.0,0.497,0.223,0.14,0.256,0.533,0.22,0.132,0.273,1,27,27,27,8,29,27,15,24,16,3,22,14,10,Oklahoma City Thunder,2021-22
21,1610612753,Orlando Magic,82,22,60,0.268,3956.0,0.503,0.223,0.144,0.249,0.532,0.254,0.131,0.265,1,29,29,29,13,28,28,23,27,15,19,24,8,10,Orlando Magic,2021-22
22,1610612755,Philadelphia 76ers,82,51,31,0.622,3961.0,0.534,0.282,0.129,0.246,0.524,0.25,0.136,0.276,1,6,6,6,8,16,2,5,30,11,13,18,19,10,Philadelphia 76ers,2021-22
23,1610612756,Phoenix Suns,82,64,18,0.78,3946.0,0.549,0.221,0.129,0.264,0.51,0.257,0.146,0.272,1,1,1,1,24,4,29,4,21,3,22,8,13,10,Phoenix Suns,2021-22
24,1610612757,Portland Trail Blazers,82,27,55,0.329,3946.0,0.515,0.248,0.146,0.268,0.559,0.286,0.142,0.279,1,25,25,25,24,25,16,25,18,30,28,10,20,10,Portland Trail Blazers,2021-22
25,1610612758,Sacramento Kings,82,30,52,0.366,3961.0,0.525,0.264,0.14,0.259,0.551,0.226,0.134,0.286,1,24,24,24,8,22,5,16,22,27,7,19,22,10,Sacramento Kings,2021-22
26,1610612759,San Antonio Spurs,82,34,48,0.415,3961.0,0.527,0.22,0.126,0.281,0.532,0.229,0.136,0.289,1,22,22,22,8,21,30,2,8,14,8,16,24,10,San Antonio Spurs,2021-22
27,1610612761,Toronto Raptors,82,48,34,0.585,3971.0,0.51,0.234,0.128,0.325,0.535,0.252,0.162,0.286,1,10,10,10,5,27,25,3,2,18,17,1,23,10,Toronto Raptors,2021-22
28,1610612762,Utah Jazz,82,49,33,0.598,3946.0,0.555,0.271,0.143,0.3,0.521,0.216,0.123,0.262,1,9,9,9,24,2,4,22,5,7,1,29,5,10,Utah Jazz,2021-22
29,1610612764,Washington Wizards,82,35,47,0.427,3966.0,0.532,0.252,0.133,0.247,0.529,0.251,0.12,0.269,1,21,21,21,7,18,13,11,29,13,15,30,11,10,Washington Wizards,2021-22
30,1610612737,Atlanta Hawks,72,41,31,0.569,3481.0,0.539,0.278,0.133,0.284,0.53,0.237,0.124,0.258,1,11,11,11,11,16,4,10,6,6,10,29,9,10,Atlanta Hawks,2020-21
31,1610612738,Boston Celtics,72,36,36,0.5,3476.0,0.543,0.234,0.141,0.289,0.539,0.273,0.142,0.263,1,16,16,16,16,12,23,18,3,16,27,13,13,10,Boston Celtics,2020-21
