,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,CFID,CFPARAMS,SEASON
637,202340,Avery Bradley,Avery,1610612745,HOU,30.0,27,6,21,0.222,22.3,0.8,0.3,0.7,1.9,10.1,6.7,6.3,22.6,0.1,0.3,2.0,0.7,13.1,400,456,258,500,223,358,446,297,355,447,356,350,209,426,264,381,398,339,5,"202340,1610612745",2020-21
638,1626253,Axel Toupane,Axel,1610612749,MIL,28.0,8,2,6,0.25,7.7,0.6,0.0,0.3,0.8,2.1,2.5,2.5,5.5,0.4,0.3,0.8,0.5,5.3,495,501,61,486,471,403,510,447,483,48,90,103,495,217,191,72,446,480,5,"1626253,1610612749",2020-21
639,1628389,Bam Adebayo,Bam,1610612748,MIA,23.0,64,34,30,0.531,33.5,2.8,2.5,1.2,11.9,11.6,8.0,7.2,29.1,1.0,0.6,2.3,5.3,41.5,89,100,413,223,38,49,29,174,11,506,456,408,110,46,428,436,15,24,5,"1628389,1610612748",2020-21
640,203463,Ben McLemore,Ben,1610612747,LAL,28.0,53,20,33,0.377,17.1,1.3,0.7,1.1,1.1,6.1,4.7,4.9,16.9,0.2,0.3,1.7,0.7,12.0,208,279,454,407,329,217,328,197,438,235,215,259,320,379,243,274,387,359,5,"203463,1610612747",2020-21
641,1627732,Ben Simmons,Ben,1610612755,PHI,24.0,58,42,16,0.724,32.4,2.7,1.5,3.3,10.9,11.3,7.3,10.2,31.6,0.6,0.8,2.9,4.5,36.9,157,36,170,33,55,57,128,11,20,495,411,531,64,122,472,520,31,45,5,"1627732,1610612755",2020-21
642,202687,Bismack Biyombo,Bismack,1610612766,CHA,28.0,66,28,38,0.424,20.4,0.9,1.0,0.4,4.3,7.2,5.3,6.3,19.5,1.1,0.5,2.1,1.5,16.2,70,177,505,360,257,344,237,404,180,302,265,356,264,33,353,406,206,281,5,"202687,1610612766",2020-21
643,201933,Blake Griffin,Blake,1610612751,BKN,32.0,46,24,22,0.522,25.8,1.3,1.2,0.3,4.3,7.7,7.7,6.3,24.3,0.3,0.3,2.4,3.2,23.1,268,223,274,235,165,212,175,415,177,321,438,349,185,247,247,462,55,153,5,"201933,1610612751",2020-21
644,1626246,Boban Marjanovic,Boban,1610612742,DAL,32.0,33,14,19,0.424,8.2,0.4,1.5,0.2,3.3,2.0,1.8,1.8,7.8,0.2,0.5,0.9,0.9,10.2,364,357,213,360,465,455,135,453,244,36,51,63,464,364,353,90,350,390,5,"1626246,1610612742",2020-21
645,1626171,Bobby Portis,Bobby,1610612749,MIL,26.0,66,44,22,0.667,20.8,1.8,2.3,1.0,5.5,6.7,5.8,4.3,19.2,0.4,0.6,1.7,1.0,24.2,70,25,274,79,254,134,37,203,141,269,305,217,270,202,440,305,306,144,5,"1626171,1610612749",2020-21
646,203992,Bogdan Bogdanovic,Bogdan,1610612737,ATL,28.0,44,30,14,0.682,29.7,2.6,1.2,1.6,3.9,10.1,8.2,7.0,30.3,0.3,0.4,2.3,1.4,28.7,290,143,151,74,104,61,202,114,212,446,467,395,84,264,341,429,219,93,5,"203992,1610612737",2020-21
