,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS,SEASON
13,1610612747,Los Angeles Lakers,82,33,49,0.402,47.8,15.8,11.9,14.5,48.3,16.7,13.1,14.8,50.5,1,23,23,23,1,19,26,5,12,18,14,28,26,10,Los Angeles Lakers,2021-22
14,1610612763,Memphis Grizzlies,82,56,26,0.683,47.7,18.1,18.5,17.5,56.9,14.3,12.8,13.0,46.9,1,2,2,2,13,4,1,1,1,1,9,20,12,10,Memphis Grizzlies,2021-22
15,1610612748,Miami Heat,82,53,29,0.646,49.7,17.7,13.0,11.1,44.1,17.1,12.9,12.5,42.4,1,3,3,3,5,7,17,22,28,23,13,17,1,10,Miami Heat,2021-22
16,1610612749,Milwaukee Bucks,82,51,31,0.622,47.7,14.9,13.3,13.0,44.5,15.5,12.7,11.4,43.2,1,6,6,6,19,27,13,12,26,10,4,5,3,10,Milwaukee Bucks,2021-22
17,1610612750,Minnesota Timberwolves,82,46,36,0.561,47.3,19.4,14.5,14.9,46.8,15.9,13.9,13.9,45.3,1,12,12,12,13,1,7,4,17,13,23,25,8,10,Minnesota Timberwolves,2021-22
18,1610612740,New Orleans Pelicans,82,36,46,0.439,49.0,16.9,15.3,14.5,49.2,16.4,12.8,11.4,46.1,1,20,20,20,19,9,3,6,9,15,10,6,9,10,New Orleans Pelicans,2021-22
19,1610612752,New York Knicks,82,37,45,0.451,49.7,16.1,14.9,10.9,42.8,15.8,12.7,11.6,44.5,1,19,19,19,13,17,5,23,30,12,3,8,6,10,New York Knicks,2021-22
20,1610612760,Oklahoma City Thunder,82,24,58,0.293,48.3,14.9,11.9,10.6,46.9,16.5,13.9,10.7,47.7,1,27,27,27,8,26,25,25,16,16,24,2,15,10,Oklahoma City Thunder,2021-22
21,1610612753,Orlando Magic,82,22,60,0.268,48.1,14.2,12.4,10.8,45.3,16.8,13.3,12.1,44.3,1,29,29,29,13,30,21,24,23,19,17,11,5,10,Orlando Magic,2021-22
22,1610612755,Philadelphia 76ers,82,51,31,0.622,49.7,16.2,11.6,12.6,46.3,15.3,13.4,15.4,48.0,1,6,6,6,8,15,27,14,18,7,18,29,18,10,Philadelphia 76ers,2021-22
23,1610612756,Phoenix Suns,82,64,18,0.78,47.9,18.0,12.1,12.4,49.5,14.7,13.5,11.3,45.0,1,1,1,1,24,5,23,16,8,3,19,4,7,10,Phoenix Suns,2021-22
24,1610612757,Portland Trail Blazers,82,27,55,0.329,48.6,16.7,13.7,12.5,44.3,17.7,13.1,14.5,48.0,1,25,25,25,24,10,11,15,27,27,15,27,17,10,Portland Trail Blazers,2021-22
