,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,CFPARAMS,PLAYER_ID
2944,By Year,2011-12,1610612745,HOU,2012-04-26T00:00:00,66,34,32,0.515,1751.92,5.7,12.3,0.462,1.4,4.2,0.337,3.1,3.9,0.805,1.1,2.4,3.5,7.2,3.2,1.7,0.2,0.7,3.4,3.7,15.9,1.4,33.5,8,0,31.9,7,7,4,12,6,10,13,7,10,11,11,8,10,4,4,16,15,2,3,2,11,11,3,8,11,7,8,2,3,9,264,2011-12,201609
2945,By Year,2010-11,-1,TOT,2011-04-13T00:00:00,70,37,33,0.529,1233.875,5.6,12.9,0.435,1.6,4.5,0.361,2.4,3.9,0.624,1.1,3.1,4.1,6.0,3.4,1.5,0.3,0.8,3.6,4.4,15.3,-6.2,31.0,5,1,30.5,2,2,2,1,2,2,2,2,1,2,1,2,1,3,2,2,2,2,1,1,1,1,1,1,2,3,1,1,1,1,264,2010-11,201609
2946,By Year,2010-11,1610612745,HOU,2011-04-13T00:00:00,22,14,8,0.636,377.815,5.6,11.9,0.472,2.7,5.1,0.519,2.3,3.4,0.667,1.1,4.2,5.3,5.2,2.0,1.3,0.4,0.8,3.3,3.6,16.2,-0.2,33.6,3,1,32.9,15,14,15,2,16,11,15,6,2,5,1,14,12,16,3,2,2,15,16,7,2,6,4,9,9,12,7,7,1,7,264,2010-11,201609
2947,By Year,2010-11,1610612756,PHX,2011-02-23T00:00:00,48,23,25,0.479,856.06,5.6,13.3,0.421,1.2,4.2,0.277,2.5,4.1,0.608,1.0,2.6,3.6,6.3,4.0,1.5,0.3,0.8,3.8,4.8,14.8,-8.9,29.8,2,0,29.4,12,12,8,13,13,12,10,13,13,9,16,12,7,17,6,13,13,7,1,4,7,7,2,2,15,17,15,10,3,15,264,2010-11,201609
2948,By Year,2009-10,1610612756,PHX,2010-04-14T00:00:00,80,53,27,0.663,1442.2283333333332,5.5,12.3,0.452,1.8,4.7,0.394,2.9,4.0,0.736,0.9,3.3,4.3,6.0,3.1,1.2,0.2,0.7,3.3,3.2,15.9,1.8,31.0,1,0,30.8,1,1,7,1,9,14,14,8,5,6,4,9,9,14,8,9,7,10,5,10,12,10,5,10,12,5,13,13,3,11,264,2009-10,201609
2949,By Year,2008-09,1610612756,PHX,2009-04-15T00:00:00,55,31,24,0.564,728.2416666666667,4.4,11.1,0.393,1.0,2.7,0.37,2.5,3.2,0.769,1.6,3.5,5.1,5.5,3.6,1.4,0.1,0.7,4.3,3.2,12.2,-0.6,27.6,0,0,26.9,9,8,9,7,14,16,16,15,15,17,6,13,14,9,1,6,3,13,2,5,17,8,1,11,16,13,16,15,3,16,264,2008-09,201609
2950,By Year,2021-22,1610612754,IND,2022-04-03T00:00:00,50,17,33,0.34,728.9133333333333,6.5,12.4,0.52,1.1,4.0,0.288,3.2,4.6,0.681,3.9,4.8,8.7,2.7,2.3,1.0,2.1,1.2,5.3,4.1,17.2,-1.6,38.9,2,0,36.1,2,3,1,3,1,1,1,1,2,2,1,1,1,3,1,3,2,1,1,1,3,1,2,1,1,3,2,1,1,2,264,2021-22,1629048
2951,By Year,2020-21,1610612754,IND,2021-05-16T00:00:00,45,19,26,0.422,561.2766666666666,5.3,12.4,0.428,1.3,5.1,0.253,2.9,3.9,0.738,3.8,5.8,9.6,2.4,1.1,0.6,3.8,1.0,6.0,3.4,14.8,-1.2,42.1,0,0,36.9,3,2,2,2,2,3,2,3,1,1,2,2,2,1,2,2,1,2,3,3,1,2,1,2,2,2,1,3,1,1,264,2020-21,1629048
2952,By Year,2019-20,1610612754,IND,2020-08-14T00:00:00,54,32,22,0.593,471.2916666666667,5.3,11.5,0.467,0.6,3.2,0.19,1.8,2.5,0.727,1.9,6.2,8.1,1.8,2.1,0.8,2.8,0.2,5.0,2.0,13.1,-1.1,34.1,1,0,30.8,1,1,3,1,3,2,3,2,3,3,3,3,3,2,3,1,3,3,2,2,2,3,3,3,3,1,3,2,1,3,264,2019-20,1629048
2953,By Year,2021-22,1610612749,MIL,2022-04-08T00:00:00,67,45,22,0.672,2204.225,11.3,20.3,0.553,1.2,4.0,0.293,9.0,12.5,0.722,2.2,10.5,12.7,6.3,3.6,1.2,1.5,1.0,3.5,9.6,32.7,6.5,61.9,46,4,58.2,7,3,6,3,6,2,2,3,3,3,5,1,1,6,3,3,3,4,4,6,3,4,4,2,2,4,2,3,4,2,264,2021-22,203507
