,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS,SEASON
16,1610612749,Milwaukee Bucks,82,51,31,0.622,3951.0,1235.0,1105.0,1078.0,3688.0,1281.0,1056.0,945.0,3580.0,1,6,6,1,19,24,14,12,24,12,12,7,4,10,Milwaukee Bucks,2021-22
17,1610612750,Minnesota Timberwolves,82,46,36,0.561,3956.0,1625.0,1211.0,1247.0,3910.0,1327.0,1159.0,1159.0,3784.0,1,12,12,1,13,1,5,4,14,14,25,26,11,10,Minnesota Timberwolves,2021-22
18,1610612740,New Orleans Pelicans,82,36,46,0.439,3951.0,1363.0,1237.0,1170.0,3968.0,1323.0,1034.0,920.0,3716.0,1,20,20,19,19,9,3,6,11,13,7,4,9,10,New Orleans Pelicans,2021-22
19,1610612752,New York Knicks,82,37,45,0.451,3956.0,1281.0,1189.0,870.0,3406.0,1259.0,1007.0,927.0,3544.0,1,19,19,19,13,20,7,25,30,10,2,5,3,10,New York Knicks,2021-22
20,1610612760,Oklahoma City Thunder,82,24,58,0.293,3961.0,1225.0,974.0,872.0,3844.0,1352.0,1139.0,881.0,3908.0,1,27,27,19,8,25,25,24,16,16,24,2,18,10,Oklahoma City Thunder,2021-22
21,1610612753,Orlando Magic,82,22,60,0.268,3956.0,1165.0,1020.0,886.0,3726.0,1380.0,1096.0,997.0,3646.0,1,29,29,19,13,29,21,23,22,20,19,14,6,10,Orlando Magic,2021-22
22,1610612755,Philadelphia 76ers,82,51,31,0.622,3961.0,1290.0,929.0,1003.0,3690.0,1223.0,1066.0,1231.0,3830.0,1,6,6,1,8,18,27,16,23,5,15,28,13,10,Philadelphia 76ers,2021-22
23,1610612756,Phoenix Suns,82,64,18,0.78,3946.0,1481.0,995.0,1024.0,4080.0,1210.0,1115.0,930.0,3708.0,1,1,1,1,24,5,23,14,4,4,21,6,8,10,Phoenix Suns,2021-22
24,1610612757,Portland Trail Blazers,82,27,55,0.329,3946.0,1358.0,1116.0,1019.0,3594.0,1437.0,1066.0,1176.0,3898.0,1,25,25,19,24,10,11,15,26,28,15,27,17,10,Portland Trail Blazers,2021-22
25,1610612758,Sacramento Kings,82,30,52,0.366,3961.0,1334.0,1076.0,962.0,4018.0,1466.0,1216.0,1098.0,4212.0,1,24,24,19,8,14,15,19,9,29,27,23,27,10,Sacramento Kings,2021-22
26,1610612759,San Antonio Spurs,82,34,48,0.415,3961.0,1353.0,1172.0,1116.0,4370.0,1256.0,1219.0,965.0,4116.0,1,22,22,19,8,11,8,9,2,9,28,10,26,10,San Antonio Spurs,2021-22
27,1610612761,Toronto Raptors,82,48,34,0.585,3971.0,1555.0,1350.0,1299.0,3862.0,1172.0,1136.0,956.0,3696.0,1,10,10,1,5,2,2,3,15,1,23,9,7,10,Toronto Raptors,2021-22
28,1610612762,Utah Jazz,82,49,33,0.598,3946.0,1209.0,1222.0,830.0,3926.0,1355.0,1058.0,979.0,3718.0,1,9,9,1,24,27,4,27,13,17,13,11,10,10,Utah Jazz,2021-22
29,1610612764,Washington Wizards,82,35,47,0.427,3966.0,1145.0,974.0,802.0,4024.0,1263.0,1036.0,767.0,3956.0,1,21,21,19,7,30,25,29,8,11,8,1,21,10,Washington Wizards,2021-22
30,1610612737,Atlanta Hawks,72,41,31,0.569,3481.0,1057.0,1032.0,717.0,3442.0,1144.0,950.0,848.0,3508.0,1,11,11,1,11,25,4,28,13,11,17,9,20,10,Atlanta Hawks,2020-21
31,1610612738,Boston Celtics,72,36,36,0.5,3476.0,1285.0,961.0,853.0,3330.0,1139.0,951.0,852.0,3186.0,1,16,16,1,16,9,9,17,19,9,19,10,5,10,Boston Celtics,2020-21
32,1610612751,Brooklyn Nets,72,48,24,0.667,3481.0,1135.0,885.0,1031.0,3542.0,1160.0,1100.0,871.0,3438.0,1,4,4,1,11,20,24,6,11,14,29,15,17,10,Brooklyn Nets,2020-21
33,1610612766,Charlotte Hornets,72,33,39,0.458,3471.0,1277.0,914.0,976.0,3308.0,1219.0,950.0,947.0,3396.0,1,19,19,17,19,10,20,10,20,19,17,21,10,10,Charlotte Hornets,2020-21
34,1610612741,Chicago Bulls,72,31,41,0.431,3476.0,1046.0,952.0,830.0,3556.0,1280.0,833.0,845.0,3518.0,1,21,21,17,16,26,11,20,9,27,3,8,21,10,Chicago Bulls,2020-21
